name,ip,last_resolved_ip,total_requests,successful_requests,successful_requests_percentage,min_duration_value_ms,min_duration_error,max_duration_value_ms,max_duration_error,avg_duration_value_ms,avg_duration_error
System DNS,127.0.0.1,142.250.75.14,25,25,100.0,0.301307,,0.962496,,0.508740,
Router (Gateway) DNS,192.168.0.1,142.251.98.113,25,25,100.0,1.490518,,2.169627,,1.805475,
NextDNS,45.90.28.100,142.250.109.102,25,25,100.0,9.361051,,12.459777,,10.249330,
Cloudflare,1.1.1.1,142.250.75.14,25,25,100.0,9.483524,,14.509014,,11.680231,
Cloudflare,1.0.0.1,142.250.75.14,25,25,100.0,9.882086,,15.214302,,11.815063,
Google,8.8.4.4,142.250.120.113,25,25,100.0,22.680191,,41.125453,,26.097838,
Google,8.8.8.8,142.250.120.113,25,25,100.0,22.330315,,39.044084,,27.958232,
Hurricane Electric,74.82.42.42,142.251.15.113,25,25,100.0,23.133452,,49.785692,,29.531496,
FlashStart,185.236.104.104,185.236.106.200,25,19,76.0,36.231269,,37.262455,,36.854602,
SafeDNS,195.46.39.39,216.58.206.46,25,25,100.0,35.973374,,37.724676,,36.916977,
FlashStart,185.236.105.105,185.236.106.200,25,19,76.0,36.106448,,37.561265,,36.960008,
SafeDNS,195.46.39.40,216.58.206.46,25,25,100.0,35.898141,,40.594534,,37.037404,
Control D,76.76.10.0,142.251.140.174,25,25,100.0,36.221245,,38.546274,,37.292687,
Control D,76.76.2.0,216.58.206.46,25,25,100.0,36.472302,,46.179358,,37.936015,
DNS.WATCH,84.200.70.40,142.250.179.78,25,22,88.0,36.545944,,50.410678,,38.648366,
DNS.WATCH,84.200.69.80,216.58.213.78,25,20,80.0,36.687736,,52.893653,,39.710055,
Surfshark DNS,149.154.159.92,142.251.140.174,25,25,100.0,39.383998,,48.674711,,40.608320,
Comodo Secure DNS,8.26.56.26,142.251.208.142,25,25,100.0,36.679544,,57.276348,,40.842173,
Level3,209.244.0.3,142.250.185.78,25,25,100.0,42.000895,,45.995852,,44.144252,
Comodo Secure DNS,8.20.247.20,142.251.208.142,25,25,100.0,36.729847,,81.990502,,44.172711,
Level3,209.244.0.4,142.250.185.78,25,25,100.0,41.788273,,50.061486,,44.319647,
Quad9,149.112.112.112,142.250.130.101,25,25,100.0,22.511703,,506.559471,,45.236821,
Quad9,9.9.9.9,142.250.130.102,25,25,100.0,21.917141,,399.662674,,46.510262,
OpenDNS Home,208.67.220.220,142.250.120.102,25,25,100.0,39.988355,,59.315838,,46.857581,
CleanBrowsing,185.228.169.9,142.251.39.142,25,24,96.0,45.973307,,48.401741,,47.243130,
OpenDNS Home,208.67.222.222,142.250.120.113,25,25,100.0,40.843169,,60.187991,,48.107696,
AdGuard DNS,94.140.14.14,142.250.203.206,25,25,100.0,48.546906,,52.010478,,49.131005,
AdGuard DNS,94.140.15.15,142.250.203.206,25,25,100.0,48.460546,,50.096216,,49.189923,
CleanBrowsing,185.228.168.9,142.250.180.142,25,25,100.0,47.802970,,53.431678,,49.671377,
NextDNS,45.90.30.100,142.251.39.142,25,25,100.0,45.942912,,60.707990,,49.839418,
Surfshark DNS,162.252.172.57,64.233.161.138,25,25,100.0,113.996630,,137.862062,,119.961620,
SafeServe,198.54.117.11,192.178.52.142,25,25,100.0,190.491112,,194.580139,,191.779609,
SafeServe,198.54.117.10,192.178.56.110,25,25,100.0,190.690303,,195.000523,,191.893095,
Dyn,216.146.36.36,172.217.29.206,25,25,100.0,241.495786,,248.326968,,243.459431,
Dyn,216.146.35.35,172.217.29.206,25,25,100.0,241.654264,,248.532110,,243.611667,
Verisign,64.6.64.6,0.0.0.0,25,0,0.0,,No responses,,No responses,,No responses
Verisign,64.6.65.6,0.0.0.0,25,0,0.0,,No responses,,No responses,,No responses
Norton ConnectSafe,199.85.126.10,0.0.0.0,25,0,0.0,,No responses,,No responses,,No responses
Norton ConnectSafe,199.85.127.10,0.0.0.0,25,0,0.0,,No responses,,No responses,,No responses
Vercara UltraDNS Public,156.154.70.2,0.0.0.0,25,0,0.0,,No responses,,No responses,,No responses
Vercara UltraDNS Public,156.154.71.2,0.0.0.0,25,0,0.0,,No responses,,No responses,,No responses

